iter	Passed	Remaining
0	22	22268
1	24	12352
2	28	9513
3	48	11988
4	50	10044
5	52	8740
6	56	7949
7	71	8901
8	76	8441
9	78	7809
10	94	8529
11	100	8309
12	103	7826
13	120	8454
14	123	8091
15	133	8216
16	137	7946
17	138	7562
18	154	7956
19	155	7623
20	159	7413
21	162	7209
22	163	6932
23	164	6680
24	165	6446
25	171	6440
26	173	6256
27	174	6073
28	177	5941
29	178	5785
30	180	5634
31	181	5489
32	183	5374
33	186	5299
34	188	5193
35	190	5109
36	192	4998
37	193	4889
38	195	4809
39	196	4710
40	197	4620
41	199	4543
42	201	4474
43	203	4410
44	204	4333
45	205	4260
46	206	4191
47	207	4124
48	209	4058
49	210	3997
50	211	3936
51	212	3878
52	213	3822
53	215	3768
54	216	3716
55	217	3665
56	218	3616
57	219	3569
58	220	3524
59	222	3480
60	223	3437
61	224	3396
62	225	3356
63	227	3324
64	228	3287
65	229	3251
66	230	3216
67	232	3181
68	233	3148
69	234	3117
70	235	3087
71	237	3058
72	238	3031
73	239	3002
74	241	2974
75	241	2939
76	243	2913
77	244	2887
78	245	2863
79	247	2840
80	248	2820
81	250	2800
82	252	2785
83	253	2763
84	254	2741
85	255	2720
86	257	2700
87	258	2679
88	259	2659
89	261	2641
90	262	2622
91	263	2604
92	265	2586
93	266	2569
94	267	2552
95	269	2537
96	270	2521
97	272	2505
98	273	2490
99	275	2475
100	276	2460
101	277	2447
102	279	2433
103	281	2422
104	282	2408
105	283	2394
106	285	2381
107	286	2368
108	288	2355
109	289	2341
110	290	2329
111	292	2321
112	294	2310
113	295	2300
114	297	2288
115	298	2277
116	300	2266
117	301	2256
118	303	2248
119	305	2239
120	306	2230
121	308	2220
122	309	2210
123	311	2200
124	312	2190
125	314	2180
126	315	2170
127	317	2161
128	318	2152
129	320	2143
130	321	2134
131	323	2125
132	324	2116
133	326	2107
134	327	2099
135	329	2090
136	330	2082
137	332	2074
138	334	2072
139	336	2065
140	338	2061
141	340	2058
142	343	2059
143	346	2059
144	348	2053
145	351	2057
146	353	2052
147	357	2055
148	359	2055
149	362	2052
150	363	2046
151	365	2041
152	367	2034
153	368	2026
154	370	2020
155	372	2013
156	373	2006
157	375	2000
158	377	1995
159	378	1989
160	380	1983
161	382	1976
162	383	1970
163	385	1963
164	386	1957
165	388	1953
166	390	1947
167	392	1942
168	393	1935
169	395	1929
170	398	1932
171	400	1927
172	403	1926
173	405	1922
174	406	1917
175	408	1913
176	410	1909
177	412	1905
178	414	1900
179	416	1895
180	417	1890
181	419	1885
182	421	1880
183	423	1876
184	424	1871
185	426	1867
186	428	1862
187	431	1861
188	433	1859
189	435	1857
190	438	1855
191	441	1859
192	444	1857
193	446	1855
194	448	1852
195	450	1848
196	453	1848
197	455	1846
198	457	1841
199	459	1838
200	461	1835
201	463	1830
202	465	1825
203	466	1820
204	468	1816
205	470	1811
206	471	1806
207	476	1812
208	477	1808
209	479	1804
210	481	1800
211	483	1795
212	485	1792
213	488	1793
214	491	1793
215	494	1795
216	501	1808
217	503	1806
218	505	1802
219	507	1798
220	508	1794
221	510	1789
222	512	1785
223	513	1780
224	517	1782
225	519	1780
226	522	1778
227	524	1776
228	527	1776
229	529	1774
230	532	1771
231	534	1769
232	537	1768
233	539	1766
234	541	1763
235	544	1761
236	547	1761
237	549	1759
238	551	1756
239	554	1754
240	556	1752
241	560	1754
242	563	1754
243	565	1752
244	567	1750
245	569	1746
246	573	1746
247	574	1743
248	576	1738
249	578	1734
250	580	1730
251	581	1727
252	583	1723
253	585	1720
254	587	1716
255	589	1713
256	592	1712
257	595	1711
258	596	1707
259	598	1703
260	600	1699
261	602	1696
262	604	1693
263	607	1692
264	608	1688
265	612	1689
266	614	1685
267	615	1682
268	617	1678
269	620	1676
270	622	1673
271	624	1671
272	626	1667
273	627	1663
274	629	1659
275	631	1656
276	634	1655
277	636	1651
278	637	1648
279	639	1644
280	641	1640
281	643	1639
282	645	1635
283	647	1631
284	648	1627
285	650	1624
286	652	1621
287	654	1617
288	656	1614
289	657	1610
290	659	1607
291	661	1603
292	662	1599
293	664	1596
294	666	1592
295	668	1589
296	670	1586
297	671	1582
298	673	1579
299	675	1575
300	677	1572
301	678	1569
302	680	1566
303	682	1562
304	684	1559
305	686	1556
306	688	1553
307	690	1550
308	691	1547
309	693	1543
310	694	1539
311	696	1536
312	698	1532
313	700	1529
314	702	1526
315	703	1523
316	705	1520
317	707	1517
318	709	1515
319	711	1512
320	713	1509
321	715	1506
322	717	1503
323	719	1501
324	721	1498
325	723	1495
326	725	1492
327	726	1488
328	729	1486
329	732	1486
330	734	1483
331	735	1480
332	737	1477
333	739	1474
334	741	1472
335	743	1469
336	745	1466
337	747	1463
338	748	1460
339	750	1457
340	752	1453
341	754	1450
342	755	1447
343	757	1444
344	759	1442
345	761	1439
346	763	1436
347	765	1433
348	766	1430
349	768	1427
350	770	1424
351	773	1424
352	776	1422
353	778	1420
354	780	1418
355	783	1416
356	785	1415
357	788	1413
358	790	1411
359	793	1409
360	795	1407
361	797	1405
362	799	1403
363	802	1401
364	805	1401
365	807	1398
366	809	1395
367	810	1392
368	812	1389
369	815	1388
370	817	1386
371	819	1384
372	821	1381
373	823	1378
374	825	1375
375	827	1373
376	829	1370
377	831	1368
378	833	1365
379	836	1364
380	838	1362
381	840	1359
382	842	1356
383	844	1353
384	847	1353
385	849	1350
386	850	1347
387	852	1345
388	854	1342
389	856	1339
390	859	1338
391	861	1336
392	863	1334
393	866	1332
394	868	1329
395	870	1327
396	874	1327
397	876	1325
398	878	1323
399	881	1322
400	884	1320
401	888	1321
402	897	1329
403	902	1330
404	905	1330
405	909	1330
406	912	1329
407	916	1330
408	920	1329
409	923	1328
410	925	1326
411	927	1323
412	929	1320
413	931	1318
414	933	1315
415	935	1312
416	936	1309
417	938	1306
418	940	1303
419	942	1301
420	943	1298
421	945	1295
422	947	1292
423	948	1289
424	950	1286
425	953	1285
426	955	1282
427	957	1279
428	958	1276
429	960	1273
430	962	1270
431	964	1267
432	966	1265
433	968	1262
434	970	1260
435	972	1257
436	974	1256
437	976	1253
438	978	1250
439	980	1247
440	982	1244
441	984	1242
442	985	1239
443	988	1237
444	989	1234
445	991	1231
446	993	1228
447	995	1226
448	997	1223
449	999	1221
450	1001	1219
451	1003	1216
452	1005	1213
453	1006	1210
454	1008	1208
455	1012	1207
456	1013	1204
457	1015	1202
458	1019	1201
459	1021	1198
460	1022	1195
461	1024	1193
462	1026	1190
463	1028	1187
464	1030	1186
465	1032	1183
466	1034	1180
467	1036	1178
468	1038	1175
469	1039	1172
470	1041	1170
471	1043	1167
472	1045	1164
473	1046	1161
474	1048	1159
475	1050	1156
476	1052	1153
477	1054	1151
478	1055	1148
479	1058	1146
480	1062	1146
481	1065	1144
482	1067	1142
483	1069	1140
484	1072	1138
485	1074	1136
486	1076	1134
487	1079	1132
488	1081	1130
489	1084	1128
490	1086	1126
491	1087	1123
492	1089	1120
493	1092	1118
494	1093	1115
495	1096	1113
496	1099	1112
497	1105	1114
498	1108	1113
499	1111	1111
500	1114	1110
501	1117	1108
502	1119	1105
503	1120	1103
504	1123	1100
505	1124	1098
506	1126	1095
507	1128	1092
508	1130	1090
509	1132	1088
510	1135	1086
511	1137	1084
512	1140	1082
513	1142	1080
514	1145	1078
515	1147	1076
516	1150	1074
517	1152	1072
518	1155	1070
519	1157	1068
520	1160	1066
521	1162	1064
522	1166	1064
523	1168	1061
524	1170	1059
525	1172	1056
526	1174	1054
527	1176	1051
528	1178	1049
529	1180	1046
530	1181	1043
531	1183	1041
532	1185	1038
533	1187	1035
534	1188	1033
535	1190	1030
536	1192	1027
537	1194	1025
538	1196	1023
539	1198	1021
540	1201	1019
541	1203	1017
542	1205	1014
543	1207	1012
544	1209	1009
545	1211	1007
546	1213	1004
547	1214	1001
548	1216	999
549	1219	997
550	1221	994
551	1222	992
552	1224	989
553	1226	987
554	1228	984
555	1229	981
556	1231	979
557	1233	976
558	1234	974
559	1236	971
560	1238	968
561	1240	966
562	1241	963
563	1243	961
564	1245	958
565	1247	956
566	1248	953
567	1250	951
568	1252	948
569	1254	946
570	1256	943
571	1258	941
572	1259	938
573	1262	936
574	1263	933
575	1265	931
576	1267	928
577	1268	926
578	1270	924
579	1273	922
580	1275	919
581	1276	917
582	1278	914
583	1280	912
584	1282	909
585	1284	907
586	1285	904
587	1287	902
588	1289	899
589	1290	896
590	1293	895
591	1295	892
592	1297	890
593	1298	887
594	1300	885
595	1302	882
596	1304	880
597	1307	879
598	1310	877
599	1314	876
600	1317	874
601	1319	872
602	1321	869
603	1323	867
604	1325	865
605	1327	862
606	1329	860
607	1332	859
608	1340	860
609	1345	859
610	1348	858
611	1352	857
612	1354	855
613	1357	853
614	1359	851
615	1361	848
616	1363	846
617	1364	843
618	1366	841
619	1368	839
620	1370	836
621	1372	834
622	1374	831
623	1376	829
624	1378	827
625	1381	825
626	1383	823
627	1386	821
628	1388	819
629	1390	816
630	1393	814
631	1396	812
632	1398	810
633	1400	808
634	1403	806
635	1405	804
636	1407	802
637	1410	800
638	1414	798
639	1417	797
640	1419	795
641	1421	792
642	1423	790
643	1424	787
644	1426	785
645	1428	782
646	1430	780
647	1432	778
648	1434	775
649	1436	773
650	1438	771
651	1440	768
652	1442	766
653	1444	764
654	1446	761
655	1448	759
656	1450	757
657	1452	754
658	1454	752
659	1455	750
660	1457	747
661	1459	745
662	1461	742
663	1464	740
664	1467	739
665	1469	736
666	1471	734
667	1473	732
668	1475	730
669	1477	727
670	1479	725
671	1480	722
672	1482	720
673	1485	718
674	1487	716
675	1489	713
676	1490	711
677	1492	709
678	1495	706
679	1497	704
680	1499	702
681	1500	699
682	1502	697
683	1504	695
684	1506	692
685	1508	690
686	1510	688
687	1512	685
688	1513	683
689	1517	681
690	1519	679
691	1521	677
692	1523	674
693	1525	672
694	1527	670
695	1530	668
696	1531	665
697	1534	663
698	1537	662
699	1543	661
700	1545	659
701	1548	657
702	1551	655
703	1553	653
704	1555	650
705	1557	648
706	1559	646
707	1560	643
708	1562	641
709	1564	638
710	1566	636
711	1567	634
712	1569	631
713	1572	629
714	1573	627
715	1575	624
716	1577	622
717	1579	620
718	1581	617
719	1583	615
720	1584	613
721	1586	610
722	1588	608
723	1590	606
724	1595	605
725	1596	602
726	1598	600
727	1600	597
728	1602	595
729	1603	593
730	1605	590
731	1607	588
732	1609	586
733	1610	583
734	1612	581
735	1614	579
736	1615	576
737	1617	574
738	1619	571
739	1621	569
740	1622	567
741	1624	564
742	1627	562
743	1630	560
744	1632	558
745	1634	556
746	1636	554
747	1638	551
748	1640	549
749	1642	547
750	1645	545
751	1647	543
752	1649	540
753	1650	538
754	1652	536
755	1654	533
756	1655	531
757	1657	529
758	1659	526
759	1661	524
760	1662	522
761	1664	519
762	1667	517
763	1669	515
764	1671	513
765	1672	511
766	1674	508
767	1676	506
768	1678	504
769	1679	501
770	1681	499
771	1683	497
772	1685	494
773	1686	492
774	1690	490
775	1691	488
776	1693	486
777	1695	483
778	1697	481
779	1699	479
780	1701	477
781	1702	474
782	1704	472
783	1706	470
784	1708	467
785	1709	465
786	1711	463
787	1713	460
788	1715	458
789	1716	456
790	1718	454
791	1720	451
792	1723	449
793	1725	447
794	1727	445
795	1729	443
796	1732	441
797	1734	438
798	1736	436
799	1737	434
800	1739	432
801	1741	429
802	1745	428
803	1746	425
804	1748	423
805	1750	421
806	1752	419
807	1753	416
808	1755	414
809	1758	412
810	1760	410
811	1762	408
812	1765	406
813	1769	404
814	1770	401
815	1772	399
816	1774	397
817	1776	395
818	1779	393
819	1781	390
820	1782	388
821	1784	386
822	1786	384
823	1789	382
824	1792	380
825	1794	378
826	1797	375
827	1799	373
828	1802	371
829	1804	369
830	1807	367
831	1809	365
832	1811	363
833	1814	361
834	1816	359
835	1819	356
836	1821	354
837	1824	352
838	1826	350
839	1828	348
840	1832	346
841	1834	344
842	1836	341
843	1838	339
844	1840	337
845	1841	335
846	1845	333
847	1846	331
848	1848	328
849	1850	326
850	1852	324
851	1853	322
852	1855	319
853	1857	317
854	1859	315
855	1861	313
856	1863	310
857	1865	308
858	1866	306
859	1868	304
860	1870	301
861	1872	299
862	1874	297
863	1875	295
864	1877	293
865	1880	291
866	1882	288
867	1884	286
868	1886	284
869	1887	282
870	1890	279
871	1892	277
872	1894	275
873	1895	273
874	1897	271
875	1898	268
876	1900	266
877	1902	264
878	1904	262
879	1905	259
880	1907	257
881	1909	255
882	1910	253
883	1912	251
884	1914	248
885	1916	246
886	1918	244
887	1919	242
888	1922	239
889	1924	237
890	1928	235
891	1930	233
892	1933	231
893	1936	229
894	1938	227
895	1940	225
896	1943	223
897	1945	220
898	1947	218
899	1949	216
900	1952	214
901	1954	212
902	1955	210
903	1957	207
904	1959	205
905	1960	203
906	1963	201
907	1965	199
908	1967	196
909	1968	194
910	1970	192
911	1972	190
912	1975	188
913	1977	186
914	1979	183
915	1981	181
916	1983	179
917	1985	177
918	1987	175
919	1989	172
920	1991	170
921	1992	168
922	1994	166
923	1996	164
924	1998	162
925	1999	159
926	2001	157
927	2003	155
928	2004	153
929	2007	151
930	2008	148
931	2010	146
932	2012	144
933	2014	142
934	2015	140
935	2018	137
936	2019	135
937	2023	133
938	2025	131
939	2027	129
940	2029	127
941	2031	125
942	2033	122
943	2036	120
944	2038	118
945	2041	116
946	2044	114
947	2047	112
948	2050	110
949	2052	108
950	2054	105
951	2055	103
952	2057	101
953	2060	99
954	2062	97
955	2064	94
956	2065	92
957	2068	90
958	2070	88
